MMFE8 VMM CH  Gain      Pedestal  (TDO = time*G + P)
102   7   8   1.26e+00  1.62e+01  
102   7   9   1.61e+00  1.88e+01  
102   7   10  1.55e+00  2.06e+01  
102   7   11  1.45e+00  2.19e+01  
102   7   12  1.22e+00  4.38e+01  
102   7   13  1.45e+00  2.19e+01  
102   7   14  1.58e+00  2.52e+01  
102   7   15  1.54e+00  2.07e+01  
102   7   16  1.51e+00  1.61e+01  
102   7   17  1.53e+00  2.08e+01  
102   7   18  1.44e+00  2.40e+01  
102   7   19  1.71e+00  1.66e+01  
102   7   20  1.59e+00  2.01e+01  
102   7   21  1.37e+00  2.39e+01  
102   7   23  1.58e+00  2.33e+01  
102   7   24  1.40e+00  1.75e+01  
102   7   25  1.25e+00  2.14e+01  
102   7   26  1.00e+00  2.95e+01  
102   7   27  1.18e+00  2.32e+01  
102   7   28  1.22e+00  2.48e+01  
102   7   29  1.93e+00  7.89e+00  
102   7   30  1.21e+00  3.19e+01  
102   7   31  1.49e+00  2.63e+01  
102   7   32  1.25e+00  2.04e+01  
102   7   33  1.15e+00  2.46e+01  
102   7   34  1.67e+00  2.82e+01  
102   7   37  1.32e+00  2.35e+01  
102   7   38  1.41e+00  2.24e+01  
102   7   39  1.09e+00  2.54e+01  
102   7   40  1.32e+00  1.55e+01  
102   7   41  1.63e+00  1.46e+01  
102   7   42  1.56e+00  1.25e+01  
102   7   43  1.66e+00  6.22e+00  
102   7   44  1.56e+00  8.46e+00  
102   7   45  1.50e+00  1.02e+01  
102   7   46  1.75e+00  1.41e+01  
102   7   47  1.56e+00  1.26e+01  
102   7   48  1.44e+00  1.10e+01  
102   7   49  1.21e+00  1.69e+01  
102   7   50  9.76e-01  1.98e+01  
102   7   51  1.33e+00  1.84e+01  
102   7   52  1.41e+00  1.44e+01  
102   7   53  1.16e+00  1.75e+01  
102   7   54  1.62e+00  1.27e+01  
102   7   55  1.59e+00  1.22e+01  
102   7   56  1.63e+00  1.27e+01  
102   7   57  1.51e+00  1.61e+01  
102   7   58  1.30e+00  9.71e+00  
102   7   59  1.77e+00  1.59e+01  
102   7   60  1.55e+00  1.36e+01  
102   7   61  1.42e+00  1.42e+01  
102   7   62  1.35e+00  1.61e+01  
102   7   63  1.40e+00  9.48e+00  
102   7   64  1.45e+00  1.19e+01  
105   0   3   1.54e+00  1.47e+01  
105   0   4   1.56e+00  1.24e+01  
105   0   7   1.25e+00  1.43e+01  
105   0   8   1.54e+00  1.38e+01  
105   0   9   1.46e+00  1.77e+01  
105   0   11  1.33e+00  1.53e+01  
105   0   12  1.59e+00  1.31e+01  
105   0   14  1.32e+00  1.56e+01  
105   0   15  1.48e+00  1.36e+01  
105   0   17  1.30e+00  1.27e+01  
105   0   18  1.34e+00  9.25e+00  
105   0   20  1.15e+00  1.77e+01  
105   0   21  1.18e+00  1.73e+01  
105   0   22  1.36e+00  1.40e+01  
105   0   24  1.39e+00  1.86e+01  
105   0   26  1.42e+00  1.43e+01  
105   0   29  1.39e+00  1.47e+01  
105   0   31  1.37e+00  1.39e+01  
105   0   35  1.51e+00  1.32e+01  
105   0   36  1.41e+00  1.43e+01  
105   0   37  1.38e+00  1.68e+01  
105   0   38  1.56e+00  1.24e+01  
105   0   40  1.41e+00  1.53e+01  
105   0   41  1.50e+00  2.12e+01  
105   0   45  1.52e+00  2.50e+01  
105   0   46  1.28e+00  2.30e+01  
105   0   47  1.38e+00  2.28e+01  
105   0   48  1.44e+00  2.00e+01  
105   0   49  1.56e+00  2.05e+01  
105   0   50  1.52e+00  1.80e+01  
105   0   51  1.52e+00  2.00e+01  
105   0   55  1.54e+00  2.38e+01  
105   0   56  1.48e+00  2.15e+01  
105   0   57  1.17e+00  1.93e+01  
105   0   58  1.71e+00  1.87e+01  
105   0   59  1.43e+00  2.11e+01  
105   0   60  1.57e+00  1.44e+01  
105   0   61  1.10e+00  1.33e+01  
105   1   5   1.37e+00  1.58e+01  
105   1   6   1.76e+00  1.80e+01  
105   1   7   1.48e+00  1.55e+01  
105   1   11  1.48e+00  1.34e+01  
105   1   12  1.35e+00  1.51e+01  
105   1   17  1.48e+00  1.85e+01  
105   1   19  1.48e+00  1.55e+01  
105   1   20  1.35e+00  2.01e+01  
